1,5
2,5
3,5
4,15
5,3
6,5
5,27
5,27
7,5
8,302
9,5
5,24
5,252
3,5
5,454
10,11
11,10
5,16
12,5
5,21
13,5
5,4
5,100
5,4
5,48
5,7
7,5
5,18
5,23
5,19
14,5
15,5
5,18
16,23
17,454
5,8
8,5
18,5
5,158
5,7
7,5
7,5
3,5
19,5
20,5
21,5
16,5
9,5
5,30
22,5
5,123
5,78
5,18
23,7
5,31
24,4
5,50
5,79
5,23
5,30
5,30
5,7
23,30
18,5
5,27
25,5
23,48
5,15
5,79
26,5
5,49
27,5
5,16
5,27
28,5
29,5
5,15
5,15
5,16
5,63
5,11
5,18
5,284
5,50
15,5
23,21
30,5
31,5
5,3
32,5
33,5
5,27
5,30
30,5
7,5
3,5
5,18
5,29
5,115
34,5
12,5
23,46
35,5
36,5
37,5
27,23
5,46
9,5
5,50
5,30
5,124
5,27
5,30
5,142
5,23
5,46
5,30
5,12
23,30
30,5
30,5
30,23
7,5
9,5
9,5
38,5
39,5
5,85
5,112
5,9
5,72
40,5
5,60
5,126
5,27
5,33
5,158
41,5
5,27
3,5
5,15
23,3
3,5
33,5
42,5
43,5
35,5
44,5
5,21
45,4
5,3
16,5
2,325
5,15
5,9
46,4
18,5
18,5
5,9
5,72
5,50
47,5
5,3
16,5
16,5
27,5
5,27
5,12
7,5
5,16
48,5
23,5
5,14
5,97
5,97
3,5
27,5
23,5
5,15
5,29
9,5
23,5
27,5
5,3
20,5
5,50
5,2
10,22
38,5
41,2
5,3
12,5
5,97
49,5
5,7
5,15
5,18
5,3
18,5
3,5
5,23
5,23
12,5
50,5
50,5
5,86
5,18
5,29
5,3
51,5
23,950
9,5
5,90
15,5
29,5
27,5
23,137
30,23
3,5
5,29
5,27
5,27
5,63
5,50
14,5
52,4
5,27
53,9
54,5
5,72
5,104
10,5
16,5
16,5
3,5
50,5
3,5
33,96
5,3
55,5
5,38
50,5
53,30
56,5
3,5
7,5
5,3
5,3
5,120
18,5
14,5
3,5
55,5
7,5
5,16
5,56
5,325
5,78
34,5
46,5
57,5
5,23
5,121
23,5
58,5
54,59
5,18
59,54
49,23
23,49
30,5
5,313
60,5
61,2
5,35
5,497
29,5
5,39
5,12
12,5
5,47
5,12
5,209
5,27
5,7
23,57
5,50
60,5
62,830
18,5
5,363
5,363
5,30
23,41
30,5
3,5
5,79
16,5
5,21
5,46
5,16
5,42
16,5
5,63
63,5
3,5
5,7
23,5
23,5
5,23
27,5
5,3
3,5
31,5
5,9
23,64
64,23
5,14
9,5
15,5
65,5
38,5
5,97
5,30
9,5
9,5
18,5
5,15
5,18
5,18
5,302
5,124
63,5
3,5
38,5
66,5
27,5
23,5
27,5
5,60
5,2
2,5
5,18
3,5
18,5
5,29
5,3
5,2
67,5
34,5
53,16
53,39
3,5
68,5
5,60
5,14
18,5
5,75
69,5
23,137
30,23
3,5
21,5
70,5
71,5
5,4
72,23
38,5
5,15
5,30
5,3
66,5
73,5
5,66
5,391
5,20
23,14
21,48
74,23
60,5
5,60
31,5
5,30
12,5
12,5
5,54
5,29
15,5
5,127
15,5
60,5
3,5
5,50
23,5
75,5
31,5
5,12
5,34
16,5
5,33
33,5
5,75
76,5
9,5
5,3
5,546
21,5
5,550
5,123
5,3
16,5
5,3
5,122
5,46
5,206
16,5
5,136
5,11
5,100
5,27
5,30
5,57
77,5
5,27
5,23
30,5
5,142
5,3
5,9
41,5
34,60
5,9
5,64
30,5
5,16
78,5
23,16
65,5
79,23
12,5
5,15
80,5
29,5
81,5
5,57
8,23
5,63
5,121
29,5
5,3
5,142
3,5
16,5
5,18
23,3
5,15
5,27
5,137
23,30
30,5
5,38
5,27
82,74
20,5
5,75
37,5
41,5
9,5
5,16
5,141
34,202
23,3
18,5
9,5
16,5
5,877
3,5
78,5
53,5
50,5
22,5
50,17
2,15
83,5
5,21
5,103
5,16
81,5
5,39
5,96
84,21
3,5
5,166
63,5
5,50
5,38
5,38
5,18
5,252
18,4
85,34
34,85
30,5
5,55
16,5
50,5
5,61
18,5
5,15
5,27
86,5
5,29
29,5
16,5
5,112
5,72
34,5
5,75
5,20
46,5
30,5
87,5
33,5
14,5
23,41
23,41
23,57
21,5
5,7
5,66
5,20
5,104
88,5
12,5
29,5
5,31
5,33
5,67
5,78
89,5
5,122
23,237
5,263
39,53
2,90
90,5
5,18
5,27
23,5
18,5
5,70
91,5
15,147
21,5
9,5
5,38
31,5
5,145
25,5
5,63
63,5
5,16
23,5
92,5
3,5
5,29
86,5
3,5
49,5
27,5
5,27
22,5
93,23
4,5
5,27
5,29
34,85
3,5
94,5
5,54
5,46
5,18
15,5
5,15
23,30
3,23
35,5
35,5
5,237
34,3
86,5
5,50
75,5
10,3
5,2
23,30
16,5
21,5
5,18
15,5
5,14
95,5
95,5
5,142
5,9
23,9
5,390
5,123
5,15
5,15
96,63
96,63
23,30
3,5
12,5
3,5
14,5
5,7
5,7
53,50
23,11
20,5
5,3
5,124
12,5
5,3
5,3
3,23
5,30
5,34
5,97
97,5
5,23
5,78
98,5
99,23
51,5
5,30
21,5
14,5
5,29
5,14
5,16
5,16
